"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Jan-2025","EQ","1,671.65","1,687.30","1,590.00","1,673.95","1,591.95","1,594.45","1,628.33","2,989.00","1,344.60","32,22,381","5,24,71,13,000.00","1,94,651"
"09-Jan-2025","EQ","1,718.85","1,723.50","1,671.00","1,722.40","1,674.00","1,673.95","1,694.91","2,989.00","1,344.60","17,57,818","2,97,93,44,939.05","94,692"
"08-Jan-2025","EQ","1,760.40","1,760.60","1,698.00","1,758.75","1,719.00","1,722.40","1,716.68","2,989.00","1,344.60","26,95,329","4,62,70,21,461.55","1,25,396"
"07-Jan-2025","EQ","1,732.00","1,772.00","1,726.65","1,731.25","1,755.00","1,758.75","1,750.81","2,989.00","1,344.60","23,61,921","4,13,52,74,979.80","1,05,831"
"06-Jan-2025","EQ","1,807.40","1,816.90","1,723.00","1,805.35","1,731.35","1,731.25","1,755.86","2,989.00","1,344.60","25,47,576","4,47,31,83,808.60","1,34,030"
"03-Jan-2025","EQ","1,810.00","1,828.50","1,800.05","1,804.85","1,800.50","1,805.35","1,813.57","2,989.00","1,344.60","19,32,053","3,50,39,05,037.25","75,641"
"02-Jan-2025","EQ","1,818.00","1,818.70","1,775.05","1,808.65","1,810.05","1,804.85","1,793.36","2,989.00","1,344.60","20,65,202","3,70,36,47,084.60","84,472"
"01-Jan-2025","EQ","1,760.40","1,822.00","1,752.05","1,758.65","1,813.00","1,808.65","1,800.56","2,989.00","1,344.60","28,31,813","5,09,88,55,916.25","1,19,713"
"31-Dec-2024","EQ","1,744.05","1,766.45","1,720.35","1,748.95","1,760.40","1,758.65","1,745.26","2,989.00","1,344.60","17,19,924","3,00,17,08,343.70","90,867"
"30-Dec-2024","EQ","1,779.00","1,794.80","1,740.00","1,777.55","1,745.10","1,748.95","1,764.15","2,989.00","1,344.60","22,77,156","4,01,72,54,797.60","1,14,393"
"27-Dec-2024","EQ","1,840.00","1,840.00","1,762.55","1,806.65","1,779.10","1,777.55","1,784.61","2,989.00","1,344.60","21,80,027","3,89,04,95,000.15","1,05,746"
"26-Dec-2024","EQ","1,819.00","1,822.85","1,776.55","1,815.50","1,805.05","1,806.65","1,797.78","2,989.00","1,344.60","20,00,656","3,59,67,42,106.40","94,943"
"24-Dec-2024","EQ","1,822.00","1,836.90","1,791.55","1,818.60","1,813.00","1,815.50","1,817.43","2,989.00","1,344.60","18,72,798","3,40,36,87,977.55","88,480"
"23-Dec-2024","EQ","1,878.00","1,888.00","1,814.00","1,860.75","1,815.80","1,818.60","1,837.57","2,989.00","1,344.60","28,38,705","5,21,63,07,233.20","1,45,715"
"20-Dec-2024","EQ","1,962.00","1,965.85","1,851.60","1,956.45","1,863.50","1,860.75","1,901.09","2,989.00","1,344.60","32,45,637","6,17,02,54,686.45","1,58,971"
"19-Dec-2024","EQ","1,902.00","1,965.90","1,897.00","1,948.95","1,956.00","1,956.45","1,942.25","2,989.00","1,344.60","25,79,536","5,01,01,10,548.20","1,01,579"
"18-Dec-2024","EQ","1,970.00","1,973.60","1,917.55","1,964.05","1,949.00","1,948.95","1,948.21","2,989.00","1,344.60","26,53,745","5,17,00,55,922.75","1,18,265"
"17-Dec-2024","EQ","1,954.85","1,989.80","1,947.70","1,957.95","1,964.00","1,964.05","1,969.99","2,989.00","1,344.60","29,00,596","5,71,41,50,878.60","1,32,646"
"16-Dec-2024","EQ","1,948.60","1,980.00","1,945.30","1,943.50","1,953.00","1,957.95","1,962.74","2,989.00","1,344.60","32,39,135","6,35,75,75,856.65","1,31,345"
"13-Dec-2024","EQ","1,940.00","1,951.75","1,905.00","1,948.00","1,940.00","1,943.50","1,929.38","2,989.00","1,344.60","33,41,528","6,44,70,71,019.85","1,24,333"
"12-Dec-2024","EQ","1,933.80","1,962.20","1,926.35","1,930.35","1,946.00","1,948.00","1,946.99","2,989.00","1,344.60","34,45,419","6,70,81,99,615.05","1,26,456"
"11-Dec-2024","EQ","1,912.00","1,935.30","1,897.25","1,908.90","1,932.50","1,930.35","1,918.46","2,989.00","1,344.60","28,01,940","5,37,54,20,809.85","93,637"
"10-Dec-2024","EQ","1,907.00","1,915.35","1,865.95","1,904.95","1,904.50","1,908.90","1,890.46","2,989.00","1,344.60","35,34,180","6,68,12,15,211.15","1,38,713"
"09-Dec-2024","EQ","1,875.00","1,929.40","1,859.70","1,883.80","1,904.45","1,904.95","1,907.03","2,989.00","1,344.60","56,24,475","10,72,60,25,465.60","1,94,795"
"06-Dec-2024","EQ","1,869.00","1,899.00","1,840.55","1,855.95","1,879.75","1,883.80","1,867.32","2,989.00","1,344.60","80,17,285","14,97,08,70,882.40","2,36,520"
"05-Dec-2024","EQ","1,740.00","1,865.40","1,732.70","1,718.60","1,857.00","1,855.95","1,821.88","2,989.00","1,344.60","1,89,85,579","34,58,94,29,180.95","5,19,544"
"04-Dec-2024","EQ","1,668.95","1,731.20","1,665.25","1,663.90","1,729.05","1,718.60","1,698.71","2,989.00","1,344.60","55,07,611","9,35,58,06,667.40","1,70,928"
"03-Dec-2024","EQ","1,673.40","1,688.45","1,650.50","1,665.05","1,664.00","1,663.90","1,668.58","2,989.00","1,344.60","33,51,305","5,59,19,34,341.60","1,28,737"
"02-Dec-2024","EQ","1,647.00","1,692.00","1,630.00","1,639.45","1,667.05","1,665.05","1,667.71","2,989.00","1,344.60","61,19,468","10,20,55,14,664.20","1,83,278"
"29-Nov-2024","EQ","1,606.00","1,663.90","1,600.00","1,598.25","1,644.00","1,639.45","1,640.48","2,989.00","1,344.60","53,47,934","8,77,31,97,862.10","1,53,955"
"28-Nov-2024","EQ","1,623.35","1,657.90","1,590.05","1,617.90","1,602.90","1,598.25","1,619.98","2,989.00","1,344.60","33,17,499","5,37,42,76,115.75","1,28,489"
"27-Nov-2024","EQ","1,595.30","1,629.95","1,583.00","1,587.60","1,622.00","1,617.90","1,615.68","2,989.00","1,344.60","42,69,089","6,89,74,66,014.10","1,52,164"
"26-Nov-2024","EQ","1,559.90","1,592.00","1,553.20","1,554.55","1,588.00","1,587.60","1,574.56","2,989.00","1,344.60","27,78,041","4,37,41,88,457.10","1,08,611"
"25-Nov-2024","EQ","1,560.00","1,587.90","1,550.00","1,540.25","1,557.00","1,554.55","1,564.21","2,989.00","1,344.60","30,92,888","4,83,79,41,545.80","1,18,921"
"22-Nov-2024","EQ","1,549.70","1,553.70","1,522.70","1,544.35","1,535.00","1,540.25","1,540.12","2,989.00","1,344.60","24,18,025","3,72,40,38,323.10","99,471"
"21-Nov-2024","EQ","1,505.00","1,549.00","1,480.05","1,506.35","1,546.00","1,544.35","1,520.02","2,989.00","1,344.60","40,49,265","6,15,49,59,930.10","1,51,333"
"19-Nov-2024","EQ","1,514.00","1,538.25","1,494.00","1,504.65","1,506.00","1,506.35","1,521.62","2,989.00","1,344.60","26,01,301","3,95,81,86,662.50","1,06,596"
"18-Nov-2024","EQ","1,480.00","1,515.00","1,451.45","1,472.75","1,514.00","1,504.65","1,486.78","2,989.00","1,344.60","33,41,820","4,96,85,59,016.75","1,25,454"
"14-Nov-2024","EQ","1,445.00","1,497.25","1,444.00","1,435.25","1,476.00","1,472.75","1,475.71","2,989.00","1,344.60","39,77,598","5,86,97,99,666.15","1,61,091"
"13-Nov-2024","EQ","1,521.00","1,524.40","1,427.00","1,521.90","1,445.00","1,435.25","1,465.51","2,989.00","1,344.60","43,63,184","6,39,42,95,897.45","2,28,320"
"12-Nov-2024","EQ","1,560.00","1,583.95","1,516.00","1,554.25","1,524.95","1,521.90","1,547.06","2,989.00","1,344.60","29,01,567","4,48,88,95,072.30","1,24,361"
"11-Nov-2024","EQ","1,587.90","1,589.75","1,548.50","1,596.75","1,555.95","1,554.25","1,568.78","2,989.00","1,344.60","31,04,978","4,87,10,24,064.30","1,36,541"
"08-Nov-2024","EQ","1,611.00","1,678.85","1,576.00","1,600.95","1,595.00","1,596.75","1,632.30","2,989.00","1,344.60","94,70,178","15,45,81,28,220.05","3,08,984"
"07-Nov-2024","EQ","1,580.00","1,620.00","1,575.85","1,572.40","1,603.05","1,600.95","1,603.37","2,989.00","1,344.60","48,99,725","7,85,60,87,946.45","1,85,501"
"06-Nov-2024","EQ","1,555.00","1,610.00","1,552.40","1,541.55","1,574.00","1,572.40","1,583.12","2,989.00","1,344.60","55,65,895","8,81,14,80,618.80","2,07,336"
"05-Nov-2024","EQ","1,519.60","1,549.90","1,506.80","1,521.80","1,542.00","1,541.55","1,529.24","2,989.00","1,344.60","27,39,631","4,18,95,43,860.40","1,07,520"
"04-Nov-2024","EQ","1,556.45","1,556.45","1,504.00","1,558.00","1,518.00","1,521.80","1,526.59","2,989.00","1,344.60","30,90,069","4,71,72,71,928.15","1,33,147"
"01-Nov-2024","EQ","1,559.00","1,570.00","1,550.05","1,545.80","1,554.95","1,558.00","1,562.66","2,989.00","1,344.60","12,03,130","1,88,00,85,143.45","61,630"
"31-Oct-2024","EQ","1,520.90","1,550.00","1,508.00","1,519.00","1,546.25","1,545.80","1,528.40","2,989.00","1,344.60","41,57,987","6,35,50,46,809.05","1,38,900"
"30-Oct-2024","EQ","1,463.00","1,527.00","1,460.15","1,461.90","1,520.00","1,519.00","1,500.80","2,989.00","1,344.60","45,85,292","6,88,15,94,224.20","1,59,062"
"29-Oct-2024","EQ","1,484.80","1,484.80","1,447.70","1,483.65","1,463.00","1,461.90","1,459.67","2,989.00","1,344.60","31,34,180","4,57,48,64,290.00","1,22,475"
"28-Oct-2024","EQ","1,472.00","1,518.00","1,455.05","1,419.00","1,486.00","1,483.65","1,489.04","2,989.00","1,344.60","71,46,725","10,64,17,66,131.45","2,55,912"
"25-Oct-2024","EQ","1,474.00","1,478.60","1,381.20","1,470.00","1,434.00","1,419.00","1,415.49","2,989.00","1,262.00","40,23,814","5,69,56,80,166.75","2,27,010"
"24-Oct-2024","EQ","1,485.95","1,494.70","1,453.30","1,480.35","1,470.25","1,470.00","1,474.00","2,989.00","1,262.00","20,22,849","2,98,16,69,452.80","94,695"
"23-Oct-2024","EQ","1,464.70","1,506.00","1,436.40","1,460.85","1,485.00","1,480.35","1,477.37","2,989.00","1,262.00","42,15,077","6,22,72,11,903.55","1,71,169"
"22-Oct-2024","EQ","1,555.00","1,555.00","1,452.15","1,551.90","1,472.00","1,460.85","1,491.46","2,989.00","1,262.00","41,51,788","6,19,22,22,424.60","2,19,329"
"21-Oct-2024","EQ","1,592.60","1,604.90","1,545.00","1,579.30","1,547.05","1,551.90","1,572.18","2,989.00","1,262.00","33,00,832","5,18,95,02,294.45","1,26,286"
"18-Oct-2024","EQ","1,540.90","1,587.20","1,495.00","1,545.00","1,579.30","1,579.30","1,553.60","2,989.00","1,262.00","58,23,127","9,04,67,95,047.10","2,07,066"
"17-Oct-2024","EQ","1,589.00","1,609.70","1,538.05","1,569.70","1,545.50","1,545.00","1,573.69","2,989.00","1,262.00","58,57,237","9,21,74,57,382.65","2,16,875"
"16-Oct-2024","EQ","1,586.00","1,640.00","1,560.05","1,586.50","1,570.15","1,569.70","1,600.70","2,989.00","1,262.00","83,98,509","13,44,35,06,487.85","2,60,676"
"15-Oct-2024","EQ","1,599.00","1,632.00","1,565.65","1,579.30","1,594.95","1,586.50","1,592.96","2,989.00","1,262.00","80,21,400","12,77,77,54,339.55","2,70,173"
"14-Oct-2024","EQ","1,485.00","1,615.00","1,480.35","1,478.05","1,584.00","1,579.30","1,562.79","2,989.00","1,262.00","1,81,99,893","28,44,25,79,634.85","4,97,293"
"11-Oct-2024","EQ","1,489.70","1,509.00","1,468.00","1,483.65","1,478.00","1,478.05","1,484.10","2,989.00","1,262.00","26,04,195","3,86,48,88,131.55","1,07,449"
"10-Oct-2024","EQ","1,486.00","1,515.00","1,461.10","1,471.85","1,488.00","1,483.65","1,486.47","2,989.00","1,262.00","43,89,364","6,52,46,44,806.00","1,54,149"
"09-Oct-2024","EQ","1,382.05","1,484.95","1,380.00","1,362.10","1,470.00","1,471.85","1,448.80","2,989.00","1,262.00","1,08,62,241","15,73,71,61,396.85","3,19,223"
"08-Oct-2024","EQ","1,371.00","1,378.35","1,344.60","1,368.10","1,375.00","1,362.10","1,356.22","2,989.00","1,262.00","51,55,410","6,99,18,48,428.40","2,11,236"
"07-Oct-2024","EQ","1,385.00","1,434.00","1,357.00","1,373.80","1,372.50","1,368.10","1,390.29","2,989.00","1,262.00","42,34,264","5,88,68,74,294.45","1,93,083"
"04-Oct-2024","EQ","1,415.30","1,428.20","1,366.20","1,415.30","1,381.40","1,373.80","1,396.79","2,989.00","1,262.00","33,44,049","4,67,09,34,853.70","1,80,382"
"03-Oct-2024","EQ","1,417.05","1,456.10","1,399.00","1,436.65","1,417.55","1,415.30","1,427.23","2,989.00","1,262.00","27,32,106","3,89,93,33,280.30","1,37,413"
"01-Oct-2024","EQ","1,447.95","1,454.25","1,425.05","1,437.10","1,441.10","1,436.65","1,436.72","2,989.00","1,262.00","19,68,977","2,82,88,64,351.70","88,819"
"30-Sep-2024","EQ","1,462.40","1,482.55","1,435.00","1,463.05","1,437.80","1,437.10","1,446.50","2,989.00","1,262.00","21,41,817","3,09,81,34,502.25","1,17,275"
"27-Sep-2024","EQ","1,471.80","1,479.80","1,454.80","1,468.80","1,474.00","1,463.05","1,465.44","2,989.00","1,262.00","16,42,909","2,40,75,91,695.10","80,230"
"26-Sep-2024","EQ","1,503.75","1,513.50","1,465.00","1,496.25","1,466.50","1,468.80","1,487.76","2,989.00","1,262.00","25,02,729","3,72,34,64,558.05","1,10,289"
"25-Sep-2024","EQ","1,488.00","1,542.90","1,488.00","1,497.75","1,499.00","1,496.25","1,513.07","2,989.00","1,262.00","28,59,531","4,32,66,69,285.45","1,16,436"
"24-Sep-2024","EQ","1,528.00","1,528.00","1,492.00","1,521.55","1,498.95","1,497.75","1,506.59","2,989.00","1,262.00","22,58,903","3,40,32,34,030.60","1,10,398"
"23-Sep-2024","EQ","1,554.00","1,559.80","1,515.90","1,538.65","1,523.00","1,521.55","1,532.14","2,989.00","1,262.00","29,94,931","4,58,86,43,328.30","1,38,458"
"20-Sep-2024","EQ","1,519.90","1,581.00","1,518.50","1,511.10","1,536.00","1,538.65","1,550.95","2,989.00","1,262.00","60,03,579","9,31,12,52,122.70","2,21,618"
"19-Sep-2024","EQ","1,525.00","1,568.30","1,475.05","1,504.15","1,514.00","1,511.10","1,521.24","2,989.00","1,262.00","69,08,309","10,50,91,93,691.50","2,66,972"
"18-Sep-2024","EQ","1,463.20","1,542.60","1,461.00","1,456.25","1,499.25","1,504.15","1,511.55","2,989.00","1,262.00","91,62,441","13,84,95,04,474.40","3,21,457"
"17-Sep-2024","EQ","1,450.80","1,475.00","1,442.05","1,444.70","1,457.00","1,456.25","1,461.11","2,989.00","1,262.00","44,14,358","6,44,98,44,043.40","1,74,036"
"16-Sep-2024","EQ","1,392.50","1,460.00","1,372.10","1,381.45","1,440.10","1,444.70","1,435.72","2,989.00","1,262.00","85,19,414","12,23,14,61,561.80","3,02,487"
"13-Sep-2024","EQ","1,387.00","1,410.75","1,377.00","1,378.25","1,381.75","1,381.45","1,390.99","2,989.00","1,262.00","17,67,372","2,45,84,04,406.80","84,548"
"12-Sep-2024","EQ","1,369.30","1,386.00","1,366.00","1,359.30","1,382.50","1,378.25","1,374.24","2,989.00","1,262.00","14,24,053","1,95,69,89,057.35","77,388"
"11-Sep-2024","EQ","1,357.00","1,383.30","1,348.40","1,354.45","1,359.00","1,359.30","1,365.11","2,989.00","1,262.00","19,73,343","2,69,38,37,724.15","1,10,440"
"10-Sep-2024","EQ","1,379.70","1,384.45","1,348.40","1,372.60","1,354.95","1,354.45","1,360.90","2,989.00","1,262.00","18,76,431","2,55,36,28,938.25","1,26,089"
"09-Sep-2024","EQ","1,400.00","1,401.90","1,366.10","1,401.50","1,375.90","1,372.60","1,376.00","2,989.00","1,262.00","16,63,561","2,28,90,67,904.35","1,10,457"
"06-Sep-2024","EQ","1,420.00","1,434.15","1,400.00","1,417.05","1,401.90","1,401.50","1,412.34","2,989.00","1,142.25","17,12,519","2,41,86,57,553.80","1,01,946"
"05-Sep-2024","EQ","1,430.00","1,433.70","1,414.00","1,420.05","1,416.00","1,417.05","1,423.44","2,989.00","1,142.25","11,02,929","1,56,99,57,674.10","60,735"
"04-Sep-2024","EQ","1,412.00","1,448.45","1,402.25","1,421.45","1,423.00","1,420.05","1,429.21","2,989.00","1,142.25","17,42,516","2,49,04,28,598.50","81,582"
"03-Sep-2024","EQ","1,417.95","1,441.45","1,416.60","1,416.40","1,421.00","1,421.45","1,425.67","2,989.00","1,142.25","17,52,812","2,49,89,23,514.45","83,777"
"02-Sep-2024","EQ","1,443.00","1,454.00","1,413.00","1,434.90","1,417.95","1,416.40","1,425.06","2,989.00","1,142.25","17,36,140","2,47,40,97,543.10","1,01,059"
"30-Aug-2024","EQ","1,431.15","1,470.00","1,405.00","1,431.40","1,435.00","1,434.90","1,441.34","2,989.00","1,107.35","45,52,564","6,56,17,76,358.55","1,95,174"
"29-Aug-2024","EQ","1,485.00","1,485.00","1,425.00","1,493.25","1,431.95","1,431.40","1,441.61","2,989.00","1,107.35","42,90,237","6,18,48,62,759.55","2,38,950"
"28-Aug-2024","EQ","1,520.00","1,520.00","1,490.00","1,534.70","1,493.85","1,493.25","1,503.26","2,989.00","1,107.35","27,92,969","4,19,85,46,715.55","1,36,755"
"27-Aug-2024","EQ","1,538.00","1,545.00","1,490.50","1,539.10","1,537.20","1,534.70","1,513.20","2,989.00","1,107.35","37,96,094","5,74,42,34,271.30","1,75,188"
"26-Aug-2024","EQ","1,600.00","1,615.00","1,531.00","1,568.50","1,538.00","1,539.10","1,551.93","2,989.00","1,107.35","42,34,039","6,57,09,35,324.15","1,78,506"
"23-Aug-2024","EQ","1,500.00","1,664.40","1,485.65","2,898.10","1,585.00","1,568.50","1,580.08","2,989.00","1,107.35","2,06,75,572","32,66,89,68,717.75","6,69,732"
"22-Aug-2024","EQ","2,882.70","2,989.00","2,867.45","2,866.10","2,890.00","2,898.10","2,927.59","2,989.00","1,107.35","29,07,470","8,51,18,76,391.70","1,65,471"
"21-Aug-2024","EQ","2,905.00","2,923.15","2,851.00","2,886.10","2,872.55","2,866.10","2,881.67","2,955.00","1,107.35","16,11,512","4,64,38,37,732.50","99,967"
"20-Aug-2024","EQ","2,902.00","2,934.00","2,855.00","2,876.15","2,891.00","2,886.10","2,897.53","2,955.00","1,107.35","22,43,572","6,50,08,16,445.50","1,25,247"
"19-Aug-2024","EQ","2,855.00","2,955.00","2,840.00","2,788.15","2,883.00","2,876.15","2,890.15","2,955.00","1,107.35","44,11,644","12,75,03,09,275.20","2,25,522"
"16-Aug-2024","EQ","2,588.00","2,812.00","2,580.35","2,560.60","2,806.00","2,788.15","2,721.40","2,812.00","1,107.35","63,76,190","17,35,21,68,846.50","2,91,416"
"14-Aug-2024","EQ","2,545.00","2,591.00","2,508.00","2,528.25","2,564.00","2,560.60","2,545.12","2,667.95","1,107.35","12,65,092","3,21,98,14,173.30","81,795"
"13-Aug-2024","EQ","2,590.00","2,593.70","2,520.00","2,573.80","2,527.90","2,528.25","2,551.75","2,667.95","1,107.35","9,81,571","2,50,47,20,329.95","63,516"
"12-Aug-2024","EQ","2,590.90","2,667.95","2,569.45","2,565.25","2,574.90","2,573.80","2,615.80","2,667.95","1,107.35","25,71,971","6,72,77,59,047.70","1,37,988"
"09-Aug-2024","EQ","2,505.00","2,594.85","2,468.00","2,453.20","2,566.15","2,565.25","2,550.79","2,594.85","1,107.35","34,18,980","8,72,10,86,690.65","1,55,810"
"08-Aug-2024","EQ","2,355.45","2,495.00","2,352.10","2,349.05","2,450.00","2,453.20","2,449.41","2,594.20","1,107.35","34,75,027","8,51,17,76,966.20","1,78,745"
"07-Aug-2024","EQ","2,351.85","2,360.50","2,279.20","2,292.85","2,360.00","2,349.05","2,324.78","2,594.20","1,107.35","8,20,767","1,90,80,98,922.30","56,150"
"06-Aug-2024","EQ","2,355.55","2,390.00","2,284.50","2,310.90","2,307.00","2,292.85","2,323.76","2,594.20","1,107.35","14,94,638","3,47,31,78,035.25","97,237"
"05-Aug-2024","EQ","2,450.00","2,451.95","2,301.75","2,453.20","2,312.50","2,310.90","2,367.02","2,594.20","1,107.35","29,25,600","6,92,49,51,428.65","1,97,744"
"02-Aug-2024","EQ","2,404.75","2,468.00","2,391.30","2,437.80","2,453.00","2,453.20","2,439.41","2,594.20","1,107.35","9,64,648","2,35,31,69,109.00","62,150"
"01-Aug-2024","EQ","2,525.00","2,530.00","2,430.00","2,501.50","2,447.00","2,437.80","2,455.99","2,594.20","1,107.35","15,12,643","3,71,50,38,611.50","94,768"
"31-Jul-2024","EQ","2,463.00","2,594.20","2,455.00","2,453.00","2,510.00","2,501.50","2,539.21","2,594.20","1,107.35","37,24,359","9,45,69,45,374.40","1,81,009"
"30-Jul-2024","EQ","2,459.00","2,512.45","2,445.90","2,446.00","2,452.90","2,453.00","2,470.22","2,538.65","1,107.35","11,09,877","2,74,16,44,312.10","66,441"
"29-Jul-2024","EQ","2,471.25","2,507.00","2,440.00","2,446.80","2,442.00","2,446.00","2,473.81","2,538.65","1,107.35","11,35,069","2,80,79,42,005.65","73,858"
"26-Jul-2024","EQ","2,430.00","2,469.50","2,417.10","2,415.80","2,440.50","2,446.80","2,442.58","2,538.65","1,107.35","11,67,614","2,85,19,91,650.75","70,440"
"25-Jul-2024","EQ","2,359.00","2,425.00","2,345.55","2,383.60","2,416.20","2,415.80","2,393.76","2,538.65","1,107.35","10,77,223","2,57,86,16,168.65","66,127"
"24-Jul-2024","EQ","2,324.00","2,423.50","2,319.00","2,323.25","2,375.10","2,383.60","2,384.17","2,538.65","1,107.35","14,51,422","3,46,04,30,820.30","90,527"
"23-Jul-2024","EQ","2,297.10","2,360.10","2,171.00","2,291.10","2,323.45","2,323.25","2,289.17","2,538.65","1,107.35","13,74,076","3,14,54,87,442.80","1,08,457"
"22-Jul-2024","EQ","2,265.25","2,314.80","2,253.65","2,285.20","2,294.00","2,291.10","2,289.80","2,538.65","1,107.35","5,27,054","1,20,68,49,620.20","46,418"
"19-Jul-2024","EQ","2,328.20","2,328.20","2,275.50","2,331.95","2,288.00","2,285.20","2,294.33","2,538.65","1,107.35","7,03,801","1,61,47,50,866.00","58,486"
"18-Jul-2024","EQ","2,381.00","2,403.10","2,315.00","2,383.05","2,333.00","2,331.95","2,345.56","2,538.65","1,107.35","7,47,835","1,75,40,94,624.95","65,356"
"16-Jul-2024","EQ","2,400.00","2,415.95","2,378.00","2,406.95","2,383.90","2,383.05","2,392.09","2,538.65","1,107.35","6,47,212","1,54,81,88,462.95","41,517"
"15-Jul-2024","EQ","2,431.00","2,474.70","2,387.00","2,418.90","2,413.00","2,406.95","2,423.19","2,538.65","1,107.35","14,09,504","3,41,54,98,927.25","80,232"
"12-Jul-2024","EQ","2,464.00","2,495.00","2,406.00","2,442.40","2,418.95","2,418.90","2,444.81","2,538.65","1,107.35","15,19,920","3,71,59,22,572.25","86,937"
"11-Jul-2024","EQ","2,314.00","2,493.00","2,299.90","2,297.05","2,450.95","2,442.40","2,426.02","2,538.65","1,107.35","61,35,993","14,88,60,16,858.05","2,65,296"